3,4,0,1,3,1670434,2908766
1,4,0,1,4,3451237,2908766
3,4,4,1,4,48821903,2908766
3,4,0,1,2,1701620,2908766
2,4,0,1,1,17464543,2908766
1,4,0,1,3,57682,2908766
3,4,0,1,0,11104586,2908766
3,4,0,1,1,4075929,2908766
3,4,0,1,4,65596394,2908766
3,4,3,1,0,426381,2908766
3,4,3,1,4,4782786,2908766
3,4,4,1,0,13714824,2908766
1,4,0,1,0,3034336,2908766
3,4,4,1,1,11269518,2908766
3,4,3,1,3,131723,2908766
3,4,4,1,2,8197813,2908766
2,4,0,1,0,14226374,2908766
2,4,0,1,2,4438449,2908766
3,4,4,1,3,3192298,2908766
1,4,0,1,2,32363,2908766
2,4,0,1,4,62033427,2908766
2,4,0,1,3,1800877,2908766
3,4,3,1,2,11833,2908766
1,4,0,1,1,3237470,2908766
3,4,3,1,1,165159,2908766
